Image,Bead,X_measured_FWHM,Y_measured_FWHM,Z_measured_FWHM,X_theoretical_FWHM,Y_theoretical_FWHM,Z_theoretical_FWHM,X_ratio,Y_ratio,Z_ratio,X_fit,Y_fit,Z_fit,Lateral_Asymmetry,X_coordinate,Y_coordinate,X_validity,Y_validity,Z_validity
GreenBeads63x.lif-Series005,bead170,,,,,,,,,,0.9966550284887835,0.9899779232087649,0.9749931558840078,,1039,846,valid,valid,valid
GreenBeads63x.lif-Series005,bead171,,,,,,,,,,0.9990447757575303,0.9921193538130472,0.9849049869124863,,302,680,valid,valid,valid
GreenBeads63x.lif-Series005,bead172,,,,,,,,,,0.9984194865409667,0.9944017163299343,0.9807463620901423,,1841,549,valid,valid,valid
GreenBeads63x.lif-Series005,bead173,,,,,,,,,,0.9970256767433603,0.9938422606772884,0.9834217747848141,,799,1884,valid,valid,valid
GreenBeads63x.lif-Series005,bead174,,,,,,,,,,0.9964831020623063,0.9922757226796731,0.987299810962645,,1242,657,valid,valid,valid
GreenBeads63x.lif-Series005,bead175,,,,,,,,,,0.9973689844821706,0.9902471209987512,0.9865187441848057,,1483,431,valid,valid,valid
GreenBeads63x.lif-Series005,bead176,,,,,,,,,,0.997155764658674,0.9898874517997087,0.9791250084041049,,1323,692,valid,valid,valid
GreenBeads63x.lif-Series005,bead177,,,,,,,,,,0.9974334523080081,0.9951763924985031,0.986899133721071,,1593,1544,valid,valid,valid
GreenBeads63x.lif-Series005,bead178,,,,,,,,,,0.9954140969779753,0.9940120050642249,0.9811208137621839,,334,1963,valid,valid,valid
GreenBeads63x.lif-Series005,bead179,,,,,,,,,,0.9983798966745614,0.9965091071900389,0.9869138111338656,,967,1776,valid,valid,valid
GreenBeads63x.lif-Series005,bead180,,,,,,,,,,0.9976916604757118,0.9948783123698539,0.9841092070693778,,96,1724,valid,valid,valid
